_id,Sector,Question,Answer,gpt3.5-turbo_response,gpt-4-turbo_response
66c89593226a127494e0c064,Sports,what is a 'knockout' in boxing?,"a knockout (ko) in boxing occurs when a fighter is knocked down and unable to stand up before the referee counts to ten, resulting in an immediate win for the opponent.","A ""knockout"" in boxing happens when a fighter knocks their opponent down and the opponent cannot get up within a certain amount of time (usually 10 seconds) as determined by the referee.","In boxing, a 'knockout' (KO) occurs when a boxer is knocked down and unable to rise to their feet before the referee counts to ten, resulting in an automatic win for the opponent."
66c89593226a127494e0c065,Sports,what is the role of a coach in sports?,"a coach is responsible for training athletes, developing strategies, and making decisions during games. they guide players in skill development, motivation, and overall team management.","The role of a coach in sports is to provide guidance, instruction, support, and motivation to help athletes improve their skills, performance, and overall development.","The role of a coach in sports is to train and guide athletes, develop strategies and game plans, foster teamwork, and help improve performance by enhancing skills and tactics. Coaches also play a crucial role in motivating athletes, managing games, and providing support both on and off the field."
66c89593226a127494e0c066,Sports,what is the length of a standard olympic swimming pool?,"a standard olympic swimming pool is 50 meters in length and 25 meters in width, with a depth of at least 2 meters.",The standard length of an Olympic swimming pool is 50 meters.,The length of a standard Olympic swimming pool is 50 meters.
66c89593226a127494e0c067,Sports,how many players are on a soccer team?,"each soccer team consists of eleven players on the field, including the goalkeeper. teams typically have additional players on the bench for substitutions.",A soccer team typically consists of 11 players on the field.,A soccer team typically has 11 players on the field.
66c89593226a127494e0c068,Sports,what is a 'breakaway' in soccer?,"a breakaway in soccer occurs when a player receives the ball and advances toward the opponent's goal with minimal or no defenders between them and the goal, often leading to a scoring opportunity.",A breakaway in soccer is when an attacking player gets ahead of the defenders and has a clear path to the goal with no one between them and the goalkeeper.,"A 'breakaway' in soccer refers to a situation where an attacking player gains possession of the ball and has a clear path towards the goal, usually with few or no defenders in their way. This creates a one-on-one opportunity against the goalkeeper."
66c89593226a127494e0c069,Sports,what is the purpose of a warm-up before exercise or a game?,"a warm-up is designed to prepare the body for physical activity by gradually increasing heart rate, blood flow, and muscle temperature, reducing the risk of injury and improving performance.","The purpose of a warm-up is to prepare the body physiologically and mentally for exercise or activity by increasing heart rate, circulation, flexibility, and reducing the risk of injury.","The purpose of a warm-up before exercise or a game is to prepare the body physically and mentally for the upcoming activity. It increases blood flow to muscles, raises body temperature, enhances flexibility, and reduces the risk of injuries while improving performance."
66c89593226a127494e0c06a,Sports,what is the 'grand slam' in tennis?,"the grand slam in tennis refers to winning all four major championships in a single calendar year: the australian open, the french open, wimbledon, and the us open.","In tennis, a Grand Slam refers to winning all four major tournaments in a single calendar year: the Australian Open, French Open, Wimbledon, and US Open.","In tennis, a ""Grand Slam"" refers to winning all four major championships in a single calendar year: the Australian Open, the French Open, Wimbledon, and the US Open."
66c89593226a127494e0c06b,Sports,how long is a regulation game of ice hockey?,"a regulation game of ice hockey consists of three periods, each 20 minutes long, with intermissions between periods. overtime and shootouts may be used to determine the winner if the game is tied after regulation.","A regulation game of ice hockey is 60 minutes, divided into three periods of 20 minutes each.","A regulation game of ice hockey consists of three periods, each 20 minutes long, totaling 60 minutes of game time."
66c89593226a127494e0c06c,Sports,what does 'dribbling' mean in basketball?,dribbling in basketball refers to the act of continuously bouncing the ball while moving around the court. it is a fundamental skill for advancing the ball and maneuvering past defenders.,Dribbling in basketball is the act of bouncing the ball on the floor while moving around the court.,"In basketball, dribbling is the act of bouncing the ball on the floor continuously with one hand, which allows a player to move around the court while still maintaining possession of the ball."
66c89593226a127494e0c06d,Sports,what is a 'free kick' in soccer?,"a free kick is awarded when a player commits a foul outside the penalty area. the ball is placed at the spot of the foul, and the opposing team has the opportunity to kick the ball without any defenders interfering.",A free kick in soccer is a direct or indirect kick awarded to a team after a foul committed by the opposing team.,"In soccer, a free kick is awarded to a team following a foul or infringement by the opposing team. It allows the team to resume play from the spot of the infringement. There are two types of free kicks: direct (from which a goal can be scored directly against the opposing side) and indirect (from which a goal can only be scored if the ball subsequently touches another player before entering the goal)."
66c89593226a127494e0c06e,Sports,what is the main objective in the game of cricket?,"the main objective in cricket is to score more runs than the opposing team. runs are scored by hitting the ball and running between wickets, while the fielding team aims to dismiss the batsmen and limit runs scored.",The main objective in the game of cricket is to score more runs than the opposing team.,The main objective in the game of cricket is to score more runs than the opposing team.
66c89593226a127494e0c06f,Sports,what is the 'yellow jersey' in the tour de france?,"the yellow jersey is worn by the leader of the tour de france, a prestigious cycling race. it is awarded to the rider with the lowest cumulative time at the end of each stage.",The yellow jersey in the Tour de France is worn by the rider with the lowest overall time at the end of each stage.,"The 'yellow jersey' (or 'maillot jaune' in French) is worn by the leader of the general classification in the Tour de France, indicating the cyclist with the lowest cumulative time across all stages."
66c89593226a127494e0c070,Food,what is the main ingredient in guacamole?,"the main ingredient in guacamole is avocado. it is typically mixed with ingredients such as lime juice, salt, onions, tomatoes, and cilantro.",The main ingredient in guacamole is avocado.,The main ingredient in guacamole is avocado.
66c89593226a127494e0c071,Food,what is a soufflé?,"a soufflé is a light, fluffy dish made with a flavorful base (such as cheese or chocolate) and beaten egg whites. it can be sweet or savory and is baked until it puffs up and becomes golden brown.","A soufflé is a baked dish made with a light, fluffy base typically using egg yolks and then adding beaten egg whites to create a fluffy and risen texture.",A soufflé is a baked dish made with egg yolks and beaten egg whites combined with various other ingredients. It can be served as a savory dish or sweet dessert. The whipped egg whites make it light and airy.
66c89593226a127494e0c072,Food,what is the difference between baking powder and baking soda?,"baking powder and baking soda are both leavening agents used in baking. baking soda requires an acid to activate, while baking powder contains both an acid and a base and can work without additional acidic ingredients.","Baking powder is a mixture of baking soda, cream of tartar, and a dry acid, while baking soda is pure sodium bicarbonate. Baking soda needs an acid to activate it, while baking powder does not.","Baking powder and baking soda are both leavening agents used in baking to create volume by producing carbon dioxide gas. The main differences are:

1. **Chemical Composition**:
   - **Baking Soda**: Pure sodium bicarbonate.
   - **Baking Powder**: A mixture of sodium bicarbonate, an acid (usually cream of tartar), and a drying agent (like starch).

2. **Activation**:
   - **Baking Soda**: Requires an acid (like yogurt, lemon juice, or vinegar) and moisture to activate.
   - **Baking Powder**: Contains both an acid and a base; activates with moisture and heat. It often includes a second acid that activates with heat during baking.

3. **Usage**:
   - **Baking Soda**: Used when other acidic ingredients are present in the recipe.
   - **Baking Powder**: Used in recipes without acidic ingredients, as it already contains an acid. 

Choosing the correct leavening agent is crucial as it affects texture and flavor of the final baked good."
66c89593226a127494e0c073,Food,what is a 'reduction' in cooking?,"a reduction is a technique where a liquid (such as a sauce or stock) is simmered or boiled until it decreases in volume and thickens, concentrating its flavor.","A reduction in cooking is the process of simmering a liquid to evaporate water and concentrate flavors, resulting in a thicker and more intense sauce or broth.","In cooking, a reduction is the process of thickening and intensifying the flavor of a liquid (like a sauce, soup, or stew) by simmering or boiling it to evaporate some of the water content. This technique concentrates the flavors and thickens the texture of the liquid."
66c89593226a127494e0c074,Food,what does 'al dente' mean?,"al dente is an italian term meaning 'to the tooth.' it refers to pasta or vegetables cooked until they are firm to the bite, not too soft or mushy.","""Al dente"" is an Italian term used to describe pasta that is cooked to be firm to the bite, but not overly soft.","""Al dente"" is an Italian term used to describe pasta that is cooked to be firm to the bite. It is not too soft or overly cooked."
66c89593226a127494e0c075,Food,what is a 'mirepoix'?,"mirepoix is a mixture of diced onions, carrots, and celery sautéed together as a base for soups, stews, and sauces. it is a fundamental flavoring component in many dishes.","A mirepoix is a mixture of diced onions, carrots, and celery used as a base for many dishes, such as soups, stews, and sauces. It adds flavor and aroma to the dish.","Mirepoix is a flavor base made from diced onions, carrots, and celery, typically used in French cooking. It is sautéed with butter or oil and used as a foundation for soups, stews, and sauces."
66c89593226a127494e0c076,Food,what is the purpose of marinating food?,"marinating is the process of soaking food in a seasoned liquid (marinade) to enhance its flavor and tenderness. the marinade often contains acids like vinegar or citrus juice, oils, and spices.","Marinating food helps to enhance its flavor, tenderize the meat, and sometimes help with food preservation.","The purpose of marinating food is to enhance flavor and tenderize it, often by soaking it in a seasoned liquid mixture."
66c89593226a127494e0c077,Food,what is the difference between a 'broth' and a 'stock'?,"broth is made by simmering meat and vegetables, while stock is made by simmering bones (often with meat) and vegetables. stocks tend to be richer and more gelatinous due to the collagen extracted from the bones.","Broth is made with meat and can include some bones, while stock is made with bones and can include some meat. Broth tends to have a richer flavor and is seasoned, while stock is neutral and used as a base for other dishes.","The main difference between a broth and a stock lies in their ingredients and cooking process. Stock is made by simmering bones, meat, and sometimes vegetables, creating a rich, flavorful base typically used in soups and sauces. Broth, on the other hand, is generally made from simmering meat (often including bones) and vegetables directly, resulting in a lighter, more flavorful liquid that can be consumed on its own or used as a base in dishes similar to stock."
66c89593226a127494e0c078,Food,what is 'umami'?,"umami is one of the five basic tastes, along with sweet, sour, bitter, and salty. it is described as a savory or meaty taste and is found in foods like mushrooms, soy sauce, and aged cheeses.","Umami is one of the five basic tastes, along with sweet, sour, bitter, and salty. It is described as a savory or meaty flavor.","Umami is one of the five basic tastes, alongside sweet, sour, bitter, and salty. It is described as a savory or meaty flavor and is associated with foods containing glutamates, such as meat, cheese, and mushrooms."
66c89593226a127494e0c079,Food,what is a 'deglaze'?,"deglazing is a cooking technique where a liquid (such as wine, broth, or vinegar) is added to a pan after searing meat or vegetables to loosen and incorporate the flavorful browned bits stuck to the pan into a sauce.",Deglazing is the process of adding liquid to a pan to loosen and dissolve the browned bits of food that are stuck to the bottom after cooking.,"Deglazing is the culinary technique of adding liquid, such as stock or wine, to a pan to loosen and dissolve food particles that are stuck to the bottom after cooking. This process helps to create a flavorful sauce or gravy from the residue."
66c89593226a127494e0c07a,Food,what is a 'beurre blanc' sauce?,"beurre blanc is a classic french sauce made from butter, white wine, and shallots. it is often used to accompany seafood and is known for its rich, creamy texture.","A beurre blanc sauce is a classic French sauce made with butter, white wine, vinegar, and shallots.","Beurre blanc is a French sauce made from emulsified butter, white wine, and shallots, typically seasoned with lemon juice and white pepper. It is smooth and creamy, often served with fish, seafood, or vegetables."
66c89593226a127494e0c07b,Food,what is the difference between 'sautéing' and 'frying'?,"sautéing involves cooking food quickly over medium-high heat with a small amount of oil or fat, while frying involves cooking food in a larger amount of oil or fat, often at higher temperatures.","Sautéing involves cooking food quickly in a small amount of oil or fat over high heat, while frying involves cooking food by submerging it completely in hot oil or fat.","The main difference between sautéing and frying lies in the amount of oil used and the cooking technique:

1. **Sautéing** involves cooking food quickly in a small amount of oil or fat over relatively high heat while moving the ingredients around constantly, typically in a shallow pan. This method is often used for vegetables or smaller pieces of meat.

2. **Frying** (particularly deep frying) uses a larger amount of oil that completely engulfs the food. The food is cooked by the heat of the oil, and it often results in a crispy outer layer. There is also shallow frying which uses enough oil to come up to about half of the food's thickness, and the food is usually flipped during cooking."
66c89593226a127494e0c07c,Food,what is 'quinoa'?,"quinoa is a nutrient-dense grain-like seed that is cooked and eaten similarly to grains. it is a complete protein, meaning it contains all nine essential amino acids, and is often used as a substitute for rice or couscous.",Quinoa is a nutritious grain-like seed that is high in protein and other essential nutrients.,"Quinoa is a grain crop grown primarily for its edible seeds. It is considered a pseudocereal rather than a true cereal, because it is not a grass. Quinoa is rich in protein, dietary fiber, B vitamins, and dietary minerals, and it is gluten-free. It is cooked and used similarly to grains like rice and barley."
66c89593226a127494e0c07d,Food,what is 'foie gras'?,"foie gras is a luxury food product made from the liver of a duck or goose that has been specially fattened. it is known for its rich, buttery texture and is often served as a pâté or mousse.",Foie gras is a luxury food product made of the liver of a duck or goose that has been specially fattened.,"Foie gras is a luxury food product made from the liver of a duck or goose that has been specially fattened. It is a traditional French delicacy known for its rich, buttery, and delicate flavor."
66c89593226a127494e0c07e,Food,what does 'crème brûlée' mean?,"crème brûlée is a french dessert consisting of a rich custard base topped with a layer of caramelized sugar. the name means 'burnt cream' in french, referring to the sugar topping.","""Crème brûlée"" is a dessert that consists of a rich custard base topped with a layer of hardened caramelized sugar. It translates to ""burnt cream"" in French.","'Crème brûlée' is French for ""burnt cream."""
66c89593226a127494e0c07f,Food,what is the difference between 'vinegar' and 'balsamic vinegar'?,"vinegar is a general term for a sour liquid made from fermented alcohol or sugars. balsamic vinegar is a specific type of vinegar from italy made from grape must and aged to develop a complex, sweet flavor.","Balsamic vinegar is a type of vinegar made from fermented grape juice, while regular vinegar can be made from various sources like apples or grains. Balsamic vinegar is typically sweeter and has a more complex flavor compared to regular vinegar.","The main differences are:

1. **Base Ingredient**:
   - **Vinegar** can be made from various fermentable ingredients such as apples, grapes, or grains that produce ethanol.
   - **Balsamic Vinegar** is specifically made from grape must (freshly crushed grape juice that contains the skins, seeds, and stems).

2. **Production Process**:
   - **Vinegar** involves fermenting the base ingredient into alcohol and then into acetic acid.
   - **Balsamic Vinegar** undergoes a longer aging process in wood barrels, contributing to its distinct flavor and thicker consistency.

3. **Flavor Profile**:
   - **Vinegar** generally has a sharp, acidic taste.
   - **Balsamic Vinegar** has a richer, slightly sweet flavor due to the caramelization of the sugars during aging.

4. **Geographical Origin**:
   - **Vinegars** can be produced anywhere.
   - **Traditional Balsamic Vinegar** originates from specific regions in Italy, like Modena or Reggio Emilia."
66c89593226a127494e0c080,Food,what is 'sous-vide' cooking?,sous-vide is a cooking method where food is vacuum-sealed in a plastic bag and cooked in a temperature-controlled water bath. this technique ensures precise cooking and retains moisture and flavor.,Sous-vide cooking is a method where food is vacuum-sealed in a bag and cooked in a precise temperature-controlled water bath for an extended period.,"Sous-vide is a method of cooking in which food is vacuum-sealed in a plastic pouch or a glass jar and then placed in a water bath at a precisely controlled temperature. This technique allows food to be cooked evenly, ensuring that the inside is properly cooked without overcooking the outside, and retaining moisture."
66c89593226a127494e0c081,Food,what is 'miso'?,"miso is a traditional japanese condiment made from fermented soybeans, salt, and a koji mold. it is used to add a savory, umami flavor to soups, sauces, and marinades.","Miso is a traditional Japanese seasoning made from fermented soybeans, salt, and usually a grain like rice or barley. It is commonly used in soups, marinades, and sauces.","Miso is a traditional Japanese seasoning produced by fermenting soybeans with salt and koji (a fungus) and sometimes rice or barley. It forms a thick paste used for sauces and soups, known for its rich umami flavor."
66c89593226a127494e0c082,Food,what is a 'crudités' platter?,"a crudités platter is a selection of raw vegetables, such as carrots, celery, and bell peppers, often served with dips like hummus or ranch dressing. it is typically served as an appetizer or snack.",A crudités platter is a selection of raw vegetables typically served with a dipping sauce or dressing.,"A crudités platter is an assortment of raw vegetables, often cut into bite-sized pieces, served with one or more dips. Common vegetables include carrots, celery, bell peppers, cucumbers, and broccoli."
66c89593226a127494e0c083,Food,what is 'tempura'?,tempura is a japanese cooking technique where seafood or vegetables are coated in a light batter and deep-fried until crispy. it is often served with a dipping sauce and grated daikon radish.,"Tempura is a traditional Japanese dish where seafood, vegetables, or other ingredients are coated in a light batter and deep fried.",Tempura is a Japanese dish consisting of seafood or vegetables that have been battered and deep fried.
66c89593226a127494e0c084,Food,what is the purpose of 'proofing' yeast?,proofing yeast involves dissolving it in warm water with a bit of sugar to activate it and ensure it is alive and active before adding it to dough. it helps ensure the dough will rise properly.,The purpose of proofing yeast is to ensure that it is active and alive before using it in baking.,"The purpose of 'proofing' yeast is to verify that it is alive and active before using it in a recipe. This process involves dissolving the yeast in warm water (sometimes with sugar) and allowing it to sit for a short period. If the mixture bubbles and foams, the yeast is active and capable of leavening bread."
66c89593226a127494e0c085,Food,what is 'tiramisu'?,"tiramisu is an italian dessert made of layers of coffee-soaked ladyfingers and a mascarpone cheese mixture, often flavored with cocoa powder. it is known for its rich and creamy texture.","Tiramisu is an Italian dessert made with layers of coffee-soaked ladyfingers and a mascarpone cheese mixture, dusted with cocoa powder.","Tiramisu is a popular Italian dessert consisting of layers of coffee-soaked ladyfingers (a type of sponge cake) and a creamy mixture of mascarpone cheese, eggs, and sugar. It's often topped with a dusting of cocoa powder."
66c89593226a127494e0c086,Food,what is 'pesto'?,"pesto is an italian sauce made from fresh basil, garlic, pine nuts, parmesan cheese, and olive oil. it is often used as a pasta sauce or a spread for bread.","Pesto is a sauce originating from Italy, typically made with basil, pine nuts, garlic, olive oil, and Parmesan cheese.","Pesto is a sauce originating from Italy, made from crushed garlic, basil, and pine nuts blended with Parmesan cheese, olive oil, and often other ingredients."
66c89593226a127494e0c087,Food,what is 'tzatziki'?,"tzatziki is a greek yogurt-based sauce or dip made with cucumbers, garlic, lemon juice, and dill. it is commonly served with grilled meats or as a dip with pita bread.","Tzatziki is a Greek sauce or dip made from yogurt, cucumber, garlic, and herbs like dill or mint.","Tzatziki is a Greek dip or sauce made from yogurt, cucumber, garlic, olive oil, salt, sometimes lemon juice, and herbs such as dill, mint, or parsley. It is typically served as a condiment for grilled meats or as a dip for vegetables and bread."
66c89593226a127494e0c088,Food,what is the difference between 'syrup' and 'sauce'?,"syrup is a thick, sweet liquid typically made from sugar and water, often used as a topping for pancakes or waffles. sauce is a broader term for a liquid or semi-liquid accompaniment that enhances the flavor of food, and can be sweet, savory, or spicy.","Syrup is a sweet liquid made from sugar and water, often used as a topping or flavoring. Sauce is a thick liquid usually made from a combination of ingredients like herbs, spices, and liquids, to enhance the flavor of dishes.","The main difference between 'syrup' and 'sauce' lies in their consistency and ingredients. Syrup is typically a thick, viscous liquid made primarily from a solution of water and sugar, often flavored or containing other liquid ingredients. Sauce, on the other hand, has a wider range of consistencies (from thin to thick) and is based on a variety of ingredients such as fruits, vegetables, or meats, often including other components like herbs, spices, and thickening agents."
66c89593226a127494e0c089,Food,what is 'chiffonade'?,"chiffonade is a knife technique where leafy greens or herbs are stacked, rolled, and then sliced into thin strips. it is often used to prepare basil or spinach for salads or garnishes.",Chiffonade is a culinary technique of cutting herbs or leafy vegetables into thin strips or ribbons.,"Chiffonade is a cutting technique in which leafy green vegetables or herbs are rolled into a tight cylinder and thinly sliced, resulting in fine ribbons. It is commonly used for basil, spinach, and other similar leaves."
66c89593226a127494e0c08a,Food,what is 'sashimi'?,"sashimi is a japanese dish consisting of thinly sliced raw fish or seafood, typically served with soy sauce, wasabi, and pickled ginger. it is enjoyed for its fresh, pure flavor.","Sashimi is a Japanese dish consisting of thinly sliced, raw fish or seafood.","Sashimi is a Japanese dish consisting of thinly sliced raw fish or meat, often served with soy sauce and wasabi."
66c89593226a127494e0c08b,Food,what is 'ghee'?,"ghee is a type of clarified butter that is commonly used in indian cooking. it is made by simmering butter to remove the water content and milk solids, resulting in a rich, nutty flavor.",Ghee is a type of clarified butter commonly used in Indian and Middle Eastern cooking.,"Ghee is a type of clarified butter that originated in Indian cooking. It is made by melting butter and removing the milk solids, which results in a clear, golden liquid with a rich, nutty flavor. Ghee has a high smoke point, making it suitable for high-temperature cooking, and it is often used in Indian and Middle Eastern cuisine."
66c89593226a127494e0c08c,Food,what is 'fondue'?,"fondue is a swiss dish where diners dip pieces of bread, vegetables, or other foods into a communal pot of melted cheese, chocolate, or oil. it is enjoyed as a social and interactive meal.","Fondue is a dish where cheese or chocolate is melted, typically with other ingredients, and served as a dipping sauce for bread, vegetables, or fruits.","Fondue is a Swiss dish involving melted cheese served in a communal pot (caquelon or fondue pot) over a portable stove (réchaud), into which diners dip pieces of bread using long-stemmed forks. There are also variations such as chocolate fondue, where fruit and other sweets are dipped into melted chocolate, and fondue bourguignonne, where pieces of meat are cooked in hot oil or broth."
66c89593226a127494e0c08d,Food,what does 'sear' mean in cooking?,"to sear means to quickly cook the surface of food at a high temperature to create a browned, flavorful crust while keeping the interior moist. it is commonly used for meats and vegetables.",Searing in cooking means to quickly brown the surface of food at high heat to enhance flavor.,"In cooking, ""sear"" means to cook the surface of food, usually meat, at high temperature until a browned crust forms. This helps to lock in the flavors and juices."
66c89593226a127494e0c08e,Food,what is 'zest'?,"zest is the colorful outer skin of citrus fruits, such as lemons or oranges. it contains essential oils and is used to add intense citrus flavor to dishes and baked goods.","Zest is the outer colored part of the peel of a citrus fruit, used as flavoring.","""Zest"" refers to the outer peel of citrus fruits such as lemons, oranges, and limes. It is used to add flavor to food because it contains oils that are highly aromatic and flavorful."
66c89593226a127494e0c08f,Food,what is 'tartare'?,"tartare is a dish made from finely chopped raw meat or seafood, often seasoned with herbs, spices, and condiments. it is typically served with toast or crackers and can also refer to a style of preparation.","Tartare is a dish typically made with finely chopped raw meat or fish, often seasoned with herbs, spices, and other ingredients.","Tartare refers to a dish primarily made of raw meat or fish, such as beef or salmon, that is finely chopped and seasoned. It is often served with ingredients like onions, capers, seasonings, and a raw egg yolk."
